time,open,high,low,close,volume,ticker
2022-06-24,15740,15880,15670,15880,45100,FUEVN100
2022-06-27,15840,15890,15750,15850,61500,FUEVN100
2022-06-28,15990,16190,15850,16000,54800,FUEVN100
2022-06-29,16100,17120,16000,16120,212300,FUEVN100
2022-06-30,16239,16590,16059,16190,56500,FUEVN100
2022-07-01,16129,17320,15700,16100,172400,FUEVN100
2022-07-04,16180,16180,15800,15970,140200,FUEVN100
2022-07-05,16000,16010,15820,15860,58300,FUEVN100
2022-07-06,15860,16970,15500,16100,397400,FUEVN100
2022-07-07,15710,17000,15410,15690,73300,FUEVN100
2022-07-08,15730,15790,15550,15740,58200,FUEVN100
2022-07-11,15740,16000,15310,15400,91600,FUEVN100
2022-07-12,15480,16000,15370,16000,68300,FUEVN100
2022-07-13,15660,15670,15500,15620,61300,FUEVN100
2022-07-14,15620,15630,15450,15620,53300,FUEVN100
2022-07-15,15690,15710,15600,15680,63600,FUEVN100
2022-07-18,15700,15720,15520,15640,72400,FUEVN100
2022-07-19,15650,15650,15580,15600,41300,FUEVN100
2022-07-20,15850,15950,15720,15950,327700,FUEVN100
2022-07-21,15970,15970,15820,15930,85100,FUEVN100
2022-07-22,16000,16000,15840,15840,72600,FUEVN100
2022-07-25,15860,15900,15770,15900,57900,FUEVN100
2022-07-26,15770,15880,15660,15700,90300,FUEVN100
2022-07-27,15700,15720,15650,15710,50300,FUEVN100
2022-07-28,15870,16000,15810,16000,69500,FUEVN100
2022-07-29,15960,16320,15860,15890,78800,FUEVN100
2022-08-01,16000,16400,15890,15900,66800,FUEVN100
2022-08-02,16250,16250,16000,16059,53100,FUEVN100
2022-08-03,16309,16400,16180,16400,79700,FUEVN100
2022-08-04,16400,16500,16309,16500,49700,FUEVN100
2022-08-05,16480,16510,16309,16390,57800,FUEVN100
2022-08-08,16440,16900,16420,16500,69500,FUEVN100
2022-08-09,16520,16740,16510,16740,79100,FUEVN100
2022-08-10,16730,16740,16480,16500,179900,FUEVN100
2022-08-11,16900,16900,16440,16490,72300,FUEVN100
2022-08-12,16510,16680,16440,16570,51300,FUEVN100
2022-08-15,16570,16700,16570,16640,68500,FUEVN100
2022-08-16,16770,16770,16640,16700,103900,FUEVN100
2022-08-17,16800,16810,16700,16760,74400,FUEVN100
2022-08-18,16750,16800,16680,16710,78100,FUEVN100
2022-08-19,17240,17240,16560,16560,62100,FUEVN100
2022-08-22,16630,16630,16470,16560,98000,FUEVN100
2022-08-23,16990,16990,16379,16730,86500,FUEVN100
2022-08-24,17000,17000,16600,16700,72300,FUEVN100
2022-08-25,16700,17000,16700,17000,59200,FUEVN100
2022-08-26,16880,17300,16880,17200,298400,FUEVN100
2022-08-29,17090,17200,16300,17200,93800,FUEVN100
2022-08-30,17200,17200,16680,16760,49600,FUEVN100
2022-08-31,16660,17080,16600,17080,29000,FUEVN100
2022-09-05,17080,17080,16550,16950,96900,FUEVN100
2022-09-06,17200,17200,16640,16800,73500,FUEVN100
2022-09-07,16750,16750,16410,16420,257000,FUEVN100
2022-09-08,16500,16500,16170,16239,84000,FUEVN100
2022-09-09,16160,16290,16140,16290,86000,FUEVN100
2022-09-12,16670,16670,16400,16420,134700,FUEVN100
2022-09-13,16670,16800,16280,16390,65100,FUEVN100
2022-09-14,16100,16390,16079,16200,63900,FUEVN100
2022-09-15,16309,16350,16250,16350,44800,FUEVN100
2022-09-16,16309,16320,16010,16170,69500,FUEVN100
2022-09-19,16170,16180,15780,15860,125700,FUEVN100
2022-09-20,15980,15980,15690,15900,98800,FUEVN100
2022-09-21,15910,15910,15700,15790,64400,FUEVN100
2022-09-22,15690,15990,15530,15990,65100,FUEVN100
2022-09-23,15840,15840,15620,15760,61200,FUEVN100
2022-09-26,15700,15700,15130,15480,92800,FUEVN100
2022-09-27,15490,15490,15200,15200,101600,FUEVN100
2022-09-28,15140,15200,14890,15010,102000,FUEVN100
2022-09-29,15080,16000,15000,15050,66200,FUEVN100
2022-09-30,15020,15020,14520,15000,81300,FUEVN100
2022-10-03,15120,15130,14100,14100,126200,FUEVN100
2022-10-04,14330,14350,14020,14020,101600,FUEVN100
2022-10-05,14110,14450,14110,14450,245100,FUEVN100
2022-10-06,14500,14500,13840,13910,121300,FUEVN100
2022-10-07,14000,14040,13180,13180,133500,FUEVN100
2022-10-10,13200,14010,13000,13300,105100,FUEVN100
2022-10-11,14210,14210,12650,12800,118200,FUEVN100
2022-10-12,13690,13690,12800,13290,80800,FUEVN100
2022-10-13,13320,13320,13000,13210,54900,FUEVN100
2022-10-14,13230,13710,13230,13500,51000,FUEVN100
2022-10-17,13370,13500,13000,13450,91800,FUEVN100
2022-10-18,14080,14080,13570,13600,49500,FUEVN100
2022-10-19,13700,13700,13270,13300,51400,FUEVN100
2022-10-20,13400,13560,13300,13390,44000,FUEVN100
2022-10-21,13400,13400,12800,12840,68200,FUEVN100
2022-10-24,12860,12900,12180,12380,135900,FUEVN100
2022-10-25,12380,12710,12200,12550,90400,FUEVN100
2022-10-26,12550,12670,12340,12610,66700,FUEVN100
2022-10-27,12710,13100,12590,13030,57400,FUEVN100
2022-10-28,13190,13330,12950,13110,55900,FUEVN100
2022-10-31,13110,13220,12700,13080,60500,FUEVN100
2022-11-01,13310,13390,12960,13170,108400,FUEVN100
2022-11-02,13280,13280,12900,12910,60300,FUEVN100
2022-11-03,13010,13120,12910,13010,49600,FUEVN100
2022-11-04,12900,12900,12190,12880,165800,FUEVN100
2022-11-07,12870,12950,12340,12520,155900,FUEVN100
2022-11-08,12750,12750,12150,12500,69500,FUEVN100
2022-11-09,12510,12580,12220,12480,68500,FUEVN100
2022-11-10,12400,12400,11610,11800,142400,FUEVN100
2022-11-11,12000,12160,11880,12100,86700,FUEVN100
2022-11-14,11900,11990,11620,11720,97800,FUEVN100
2022-11-15,11700,12500,11080,12500,132100,FUEVN100
2022-11-16,11750,12500,11660,11920,89000,FUEVN100
2022-11-17,11940,12200,11860,12200,93900,FUEVN100
2022-11-18,12200,12200,11800,11990,49000,FUEVN100
2022-11-21,12250,12250,11780,11880,93900,FUEVN100
2022-11-22,11890,12200,11050,11930,112200,FUEVN100
2022-11-23,11910,11910,11500,11740,105400,FUEVN100
2022-11-24,11730,11730,11550,11690,35200,FUEVN100
2022-11-25,11690,12030,11690,12030,62200,FUEVN100
2022-11-28,12040,12600,12040,12500,63800,FUEVN100
2022-11-29,12500,13230,12400,13230,77200,FUEVN100
2022-11-30,13230,13250,12780,13250,52600,FUEVN100
2022-12-01,13500,13500,13070,13080,69700,FUEVN100
2022-12-02,13010,13750,12940,13510,87400,FUEVN100
2022-12-05,13750,14050,13720,13720,102500,FUEVN100
2022-12-06,13800,13800,13350,13350,57300,FUEVN100
2022-12-07,13100,13350,13080,13090,306400,FUEVN100
2022-12-08,13480,13780,13300,13510,52400,FUEVN100
2022-12-09,13390,13530,13210,13490,54600,FUEVN100
2022-12-12,13700,13700,13200,13290,73300,FUEVN100
2022-12-13,13300,13370,13020,13370,73400,FUEVN100
2022-12-14,13500,13500,13270,13400,53400,FUEVN100
2022-12-15,13570,13580,13400,13480,203600,FUEVN100
2022-12-16,13490,13590,13390,13580,45800,FUEVN100
2022-12-19,13550,13650,13400,13450,70600,FUEVN100
2022-12-20,13450,13450,12910,13110,77100,FUEVN100
2022-12-21,13130,13200,13000,13150,63700,FUEVN100
2022-12-22,13150,13310,13100,13280,51400,FUEVN100
2022-12-23,13240,13700,13030,13590,135900,FUEVN100
2022-12-26,13500,13500,12740,12820,82800,FUEVN100
2022-12-27,12800,12800,12650,12690,58100,FUEVN100
2022-12-27,12690,12810,12640,12810,76000,FUEVN100
2022-12-28,13190,13190,12700,12900,34000,FUEVN100
2022-12-29,13070,13070,12840,12910,46000,FUEVN100
2022-12-30,12910,12990,12850,12950,48500,FUEVN100
2023-01-03,12950,13390,12930,13390,72100,FUEVN100
2023-01-04,13380,13530,13380,13420,89600,FUEVN100
2023-01-05,13420,13640,13420,13640,92600,FUEVN100
2023-01-06,13590,13770,13460,13570,109800,FUEVN100
2023-01-09,13570,13660,13500,13620,75000,FUEVN100
2023-01-10,13750,13750,13410,13500,86900,FUEVN100
2023-01-11,13840,13840,13530,13720,92200,FUEVN100
2023-01-12,13720,13760,13510,13510,67900,FUEVN100
2023-01-13,13650,13700,13600,13660,46600,FUEVN100
2023-01-16,13740,13910,13630,13910,82700,FUEVN100
2023-01-17,14000,14010,13800,14010,99700,FUEVN100
2023-01-18,14250,14600,14030,14300,122700,FUEVN100
2023-01-19,14260,14340,14200,14320,89800,FUEVN100
2023-01-27,14880,14880,14430,14580,143000,FUEVN100
2023-01-30,14780,14800,14400,14590,163700,FUEVN100
2023-01-31,14790,14790,14200,14520,99400,FUEVN100
2023-02-01,14450,14720,14050,14170,204600,FUEVN100
2023-02-02,14170,14170,13820,14040,81300,FUEVN100
2023-02-03,14050,14340,13850,13910,65300,FUEVN100
2023-02-06,14110,14110,13720,13920,98600,FUEVN100
2023-02-07,14130,14130,13550,13830,100500,FUEVN100
2023-02-08,13610,13800,13600,13750,73900,FUEVN100
2023-02-09,13750,13750,13550,13590,92300,FUEVN100
2023-02-10,13590,13590,13290,13440,115900,FUEVN100
2023-02-13,13450,13450,13000,13200,118300,FUEVN100
2023-02-14,13700,13700,13100,13220,81700,FUEVN100
2023-02-15,13200,13380,13110,13200,73200,FUEVN100
2023-02-16,13320,13370,13200,13370,107700,FUEVN100
2023-02-17,13490,13500,13210,13390,58600,FUEVN100
2023-02-20,13430,13970,13400,13970,95100,FUEVN100
2023-02-21,13970,13970,13700,13720,99300,FUEVN100
2023-02-22,13680,13680,13420,13480,155900,FUEVN100
2023-02-23,13480,14010,13050,13840,124400,FUEVN100
2023-02-24,13740,13740,13020,13080,129900,FUEVN100
2023-02-27,13060,13100,12780,12840,113300,FUEVN100
2023-02-28,13000,13030,12840,12880,87600,FUEVN100
2023-03-01,12880,13780,12740,13150,69600,FUEVN100
2023-03-02,13160,13200,13020,13090,81200,FUEVN100
2023-03-03,13050,13130,12820,12890,92500,FUEVN100
2023-03-06,13000,13160,12880,12900,92500,FUEVN100
2023-03-07,13190,13200,12980,13010,50100,FUEVN100
2023-03-08,13190,13200,12890,13200,94100,FUEVN100
2023-03-09,13250,13300,13150,13300,61900,FUEVN100
2023-03-10,13260,13270,13150,13220,69200,FUEVN100
2023-03-13,13220,13350,13180,13330,72500,FUEVN100
2023-03-14,13290,13290,13030,13200,96800,FUEVN100
2023-03-15,13220,13420,13220,13360,60500,FUEVN100
2023-03-16,13360,13360,13180,13180,118600,FUEVN100
2023-03-17,13240,13320,13170,13300,52200,FUEVN100
2023-03-20,13110,13110,12900,12990,139100,FUEVN100
2023-03-21,13010,13110,12870,13010,52400,FUEVN100
2023-03-22,13030,13170,13020,13030,20400,FUEVN100
2023-03-23,13130,13130,12930,13040,7700,FUEVN100
2023-03-24,13210,13220,13140,13200,11500,FUEVN100
2023-03-27,13190,13280,13180,13250,53500,FUEVN100
2023-03-28,13210,13370,13210,13300,7500,FUEVN100
2023-03-29,13570,13600,13300,13300,2700,FUEVN100
2023-03-30,13420,13540,13420,13520,17000,FUEVN100
2023-03-31,13640,13640,13540,13540,1100,FUEVN100
2023-04-03,13610,13680,13510,13510,82700,FUEVN100
2023-04-04,13690,13750,13650,13670,21400,FUEVN100
2023-04-05,13750,13750,12900,13640,10700,FUEVN100
2023-04-06,13890,13890,13640,13750,19000,FUEVN100
2023-04-07,13660,13660,13560,13590,19600,FUEVN100
2023-04-10,13740,13740,13550,13590,92400,FUEVN100
2023-04-11,13640,13640,13500,13550,83800,FUEVN100
2023-04-12,13550,13600,13550,13600,23700,FUEVN100
2023-04-13,13600,13790,13500,13500,66600,FUEVN100
2023-04-14,13600,13670,13550,13590,75500,FUEVN100
2023-04-17,13500,13630,13440,13450,77500,FUEVN100
2023-04-18,13580,13650,13450,13650,64400,FUEVN100
2023-04-19,13600,13600,13430,13430,87400,FUEVN100
2023-04-20,13400,13480,13360,13400,56200,FUEVN100
2023-04-21,13500,13500,13300,13470,84300,FUEVN100
2023-04-24,13470,13470,13280,13280,26800,FUEVN100
2023-04-25,13330,13330,13180,13180,74700,FUEVN100
2023-04-26,13160,13170,13080,13110,111800,FUEVN100
2023-04-27,13970,13970,13190,13260,12600,FUEVN100
2023-04-28,13400,13400,13280,13280,47900,FUEVN100
2023-05-04,13350,13350,13180,13180,139100,FUEVN100
2023-05-05,13290,13290,13150,13220,67600,FUEVN100
2023-05-08,13260,13330,13250,13330,50200,FUEVN100
2023-05-09,13750,13750,13320,13320,52100,FUEVN100
2023-05-10,13400,13400,13360,13380,51000,FUEVN100
2023-05-11,13400,13500,13380,13460,55800,FUEVN100
2023-05-12,13460,13500,13380,13450,80400,FUEVN100
2023-05-15,13500,13650,13500,13650,11600,FUEVN100
2023-05-16,13600,13660,13540,13540,84600,FUEVN100
2023-05-17,13560,13600,13540,13540,45000,FUEVN100
2023-05-18,13520,13600,13490,13600,79300,FUEVN100
2023-05-19,13680,13680,13450,13470,71900,FUEVN100
2023-05-22,13640,13650,13550,13550,52500,FUEVN100
2023-05-23,13630,13670,13500,13500,70400,FUEVN100
2023-05-24,13650,13650,13480,13480,53500,FUEVN100
2023-05-25,13500,13550,13410,13540,62700,FUEVN100
2023-05-26,13550,13550,13500,13520,40800,FUEVN100
2023-05-29,13520,13640,13510,13630,79500,FUEVN100
2023-05-30,13680,13680,13630,13650,62400,FUEVN100
2023-05-31,13650,13750,13650,13710,75400,FUEVN100
2023-06-01,13780,13780,13600,13660,103700,FUEVN100
2023-06-02,13700,13920,13700,13900,103700,FUEVN100
2023-06-05,14020,14120,14000,14000,98700,FUEVN100
2023-06-06,14090,14150,14000,14120,58800,FUEVN100
2023-06-07,14140,14300,14120,14160,96900,FUEVN100
2023-06-08,14160,14260,14100,14100,89800,FUEVN100
2023-06-09,14120,14120,14000,14120,97300,FUEVN100
2023-06-12,14280,14600,14020,14130,104900,FUEVN100
2023-06-13,14180,14370,14180,14340,85600,FUEVN100
2023-06-14,14340,14470,14340,14380,73800,FUEVN100
2023-06-15,14370,14370,14170,14330,118000,FUEVN100
2023-06-16,14340,14460,14180,14230,63700,FUEVN100
2023-06-19,14250,14250,14040,14190,95900,FUEVN100
2023-06-20,14210,14240,14110,14160,58800,FUEVN100
2023-06-21,14250,14330,14160,14260,67600,FUEVN100
2023-06-22,14290,14490,14260,14480,62200,FUEVN100
2023-06-23,14470,15110,14470,14690,95400,FUEVN100
2023-06-26,14690,14690,14400,14520,142300,FUEVN100
2023-06-27,14650,14740,14520,14740,73400,FUEVN100
2023-06-28,14800,14800,14600,14690,83100,FUEVN100
2023-06-29,14650,14720,14550,14600,143100,FUEVN100
2023-06-30,14600,14600,14440,14580,120100,FUEVN100
2023-07-03,14770,15000,14470,14470,123600,FUEVN100
2023-07-04,14500,14700,14450,14700,70600,FUEVN100
2023-07-05,14700,14700,14580,14690,81000,FUEVN100
2023-07-06,14530,14670,14490,14540,122500,FUEVN100
2023-07-07,14550,14570,14420,14570,130600,FUEVN100
2023-07-10,14780,14820,14650,14770,100900,FUEVN100
2023-07-11,14920,14920,14810,14840,108600,FUEVN100
2023-07-12,14940,15000,14810,14880,78300,FUEVN100
2023-07-13,15000,15000,14910,15000,89200,FUEVN100
2023-07-14,15190,15190,14900,15000,89900,FUEVN100
2023-07-17,15200,15200,15090,15150,100400,FUEVN100
2023-07-18,15200,15200,15070,15100,69900,FUEVN100
2023-07-19,15100,15200,15100,15150,74000,FUEVN100
2023-07-20,15150,15160,15100,15140,86400,FUEVN100
2023-07-21,15200,15300,15150,15240,122200,FUEVN100
2023-07-24,15340,15520,15340,15510,98100,FUEVN100
2023-07-25,15520,15600,15510,15590,90500,FUEVN100
2023-07-26,15660,15660,15540,15600,112100,FUEVN100
2023-07-27,15790,15790,15540,15630,133700,FUEVN100
2023-07-28,15900,15900,15600,15730,156600,FUEVN100
2023-07-31,15900,15920,15820,15920,151000,FUEVN100
2023-08-01,16270,16270,15950,15990,199400,FUEVN100
2023-08-02,16000,16059,15780,16059,146600,FUEVN100
2023-08-03,16059,16059,15800,15800,112500,FUEVN100
2023-08-04,16000,16140,15850,16129,113200,FUEVN100
2023-08-07,16129,16260,16079,16260,107600,FUEVN100
2023-08-08,16290,16320,16230,16250,128000,FUEVN100
2023-08-09,16250,16360,16000,16129,140700,FUEVN100
2023-08-10,16129,16600,15950,16000,100700,FUEVN100
2023-08-11,16390,16390,15900,16050,83900,FUEVN100
2023-08-14,16100,16400,16079,16219,92800,FUEVN100
2023-08-15,16219,16329,16200,16239,76000,FUEVN100
2023-08-16,16250,16430,16250,16420,159300,FUEVN100
2023-08-17,16420,16480,16350,16350,180500,FUEVN100
2023-08-18,16360,16500,15440,15700,263700,FUEVN100
2023-08-21,15700,15960,15420,15560,266000,FUEVN100
2023-08-22,15600,15690,15150,15690,185600,FUEVN100
2023-08-23,16000,16000,15360,15570,137700,FUEVN100
2023-08-24,15570,15710,15430,15700,69000,FUEVN100
2023-08-25,15700,15730,15570,15700,65300,FUEVN100
2023-08-28,15940,15940,15710,15900,98200,FUEVN100
2023-08-29,15900,16030,15860,16030,83600,FUEVN100
2023-08-30,16000,16210,15970,16210,52700,FUEVN100
2023-08-31,16260,16329,16160,16280,91200,FUEVN100
2023-09-05,16400,16450,16400,16400,99000,FUEVN100
2023-09-06,16420,16550,16379,16550,113100,FUEVN100
2023-09-07,16550,16730,16530,16540,105600,FUEVN100
2023-09-08,16640,16640,16500,16610,86800,FUEVN100
2023-09-11,16610,16680,16280,16610,124500,FUEVN100
2023-09-12,16580,16610,16350,16610,111600,FUEVN100
2023-09-13,16670,16700,16460,16550,78500,FUEVN100
2023-09-14,16600,16600,16329,16450,121800,FUEVN100
2023-09-15,16450,16530,16400,16490,75400,FUEVN100
2023-09-18,16460,16500,16149,16490,200600,FUEVN100
2023-09-19,16400,16400,16149,16370,156100,FUEVN100
2023-09-20,16490,16500,16219,16500,114500,FUEVN100
2023-09-21,16500,16500,16300,16329,98400,FUEVN100
2023-09-22,16340,16340,15690,16000,261900,FUEVN100
2023-09-25,16000,16000,15490,15680,203100,FUEVN100
2023-09-26,15740,15950,15250,15300,306500,FUEVN100
2023-09-27,15550,16290,15190,15500,73800,FUEVN100
2023-09-28,15700,15700,15090,15480,171800,FUEVN100
2023-09-29,15480,15500,15400,15500,84300,FUEVN100
